"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2016","4,892.81","4,892.81","4,892.81","4,892.81","","1.45%"
"11/27/2016","4,823.02","4,823.02","4,823.02","4,823.02","","0.66%"
"11/20/2016","4,791.33","4,791.33","4,791.33","4,791.33","","1.97%"
"11/13/2016","4,698.54","4,698.54","4,698.54","4,698.54","","0.46%"
"11/06/2016","4,677.13","4,677.13","4,677.13","4,677.13","","0.09%"
"10/30/2016","4,672.87","4,672.87","4,672.87","4,672.87","","0.79%"
"10/23/2016","4,636.23","4,636.23","4,636.23","4,636.23","","-1.20%"
"10/16/2016","4,692.43","4,692.43","4,692.43","4,692.43","","-0.19%"
"10/09/2016","4,701.31","4,701.31","4,701.31","4,701.31","","-0.47%"
"10/02/2016","4,723.72","4,723.72","4,723.72","4,723.72","","0.61%"
"09/25/2016","4,695.18","4,695.18","4,695.18","4,695.18","","0.64%"
"09/18/2016","4,665.35","4,665.35","4,665.35","4,665.35","","1.40%"
"09/11/2016","4,601.08","4,601.08","4,601.08","4,601.08","","0.00%"
"09/04/2016","4,601.08","4,601.08","4,601.08","4,601.08","","1.14%"
"08/28/2016","4,549.04","4,549.04","4,549.04","4,549.04","","-0.11%"
"08/21/2016","4,554.27","4,554.27","4,554.27","4,554.27","","-0.67%"
"08/14/2016","4,585.08","4,585.08","4,585.08","4,585.08","","0.23%"
"08/07/2016","4,574.36","4,574.36","4,574.36","4,574.36","","-0.07%"
"07/31/2016","4,577.57","4,577.57","4,577.57","4,577.57","","0.87%"
"07/24/2016","4,538.26","4,538.26","4,538.26","4,538.26","","-0.34%"
"07/17/2016","4,553.78","4,553.78","4,553.78","4,553.78","","0.35%"
"07/10/2016","4,537.91","4,537.91","4,537.91","4,537.91","","0.67%"
